"ID","Arthromyces matolae 10171TJB","Arthromyces matolae 10185TJB","Asterophora lycoperdoides","Asterophora parasitica","Blastosporella zonata","Calocybe carnea","Calocybe cyanea","Calocybe gangraenosa","Hypsizygus ulmarius","Lyophyllum decastes","Lyophyllum semitale","Lyophyllum shimeji","Myochromella boudieri","Sphagnurus paluster","Tephrocybe rancida Trssc25","Tephrocybe rancida Trssc53","Tephrocybe sp1. 10521TJB","Tephrocybe sp2. 9174TJB","Tephrocybe sp3. HNL501043","Tephrocybe sp4. 9980TJB","Tephrocybe sp5. DS06151","Termitomyces bulborhizus","Termitomyces cryptogamus","Termitomyces cryptogamus T132","Termitomyces eurrhizus","Termitomyces fragilis","Termitomyces heimii","Termitomyces microcarpus","Termitomyces reticulatus","Termitomyces robustus","Termitomyces sagittiformis","Termitomyces sp. DKA19","Termitomyces sp. DKA64","Termitomyces sp. JCM13351","Termitomyces sp. K1Ag","Termitomyces sp. MG145","Termitomyces sp. MG16","Termitomyces sp. Mi166","Termitomyces sp. Mx157","Termitomyces sp. Od127","Termitomyces sp. T108a","Termitomyces sp. T27","Termitomyces sp. T70a","Termitomyces striatus","Termitomyces titanicus","Tricholomella constricta"
"GH33","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"GH35","3","4","1","0","4","3","1","4","2","4","2","1","4","2","5","3","5","3","3","2","6","3","2","1","1","0","2","1","2","1","4","2","4","2","1","2","1","4","2","1","2","3","2","3","3","2"
"GH37","1","2","1","2","2","1","0","1","2","3","1","2","2","2","2","2","2","2","2","2","2","3","2","1","1","2","1","2","2","4","2","1","2","1","1","1","3","2","3","1","1","2","3","1","3","1"
"GH38","0","0","2","0","1","1","1","0","1","0","1","1","1","1","1","1","1","0","1","1","1","0","1","1","0","1","1","0","0","1","1","0","1","1","0","1","0","0","0","0","0","1","0","0","0","1"
"GH43","5","2","0","0","2","2","0","1","1","2","2","0","4","4","3","2","2","4","1","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","1","0","0"
"GH44","0","1","0","0","0","0","0","1","0","0","0","1","1","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","2","1"
"GH47","6","7","8","6","4","3","7","2","3","7","4","3","5","8","8","7","5","6","4","6","7","6","4","3","1","6","5","4","6","3","4","4","8","4","6","6","3","4","5","4","3","4","6","8","6","5"
"GH5","15","16","11"," 9","15","13","11","12","10","13","11","10","14","20","20","17","22","15","18","17","21","17","16","13","10","12","10","11","18","11","19","17","15","16","15","14","10","18","16","12","13","17","13","16","17","13"
"GH51","0","1","0","0","2","0","0","1","0","1","3","0","3","1","3","0","2","1","0","1","2","1","0","0","0","0","0","0","0","1","1","0","1","2","1","0","0","1","2","0","2","1","0","1","0","1"
"GH53","0","1","0","0","0","0","0","0","0","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0","0","1","1","1","1","0","1","1","1","1","0","1","1"
"GH54","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"GH55","1","3","2","2","2","3","1","1","0","3","1","1","3","1","2","1","3","3","1","2","4","2","1","2","1","1","1","1","2","0","2","1","2","0","1","1","1","1","3","1","2","0","1","1","1","2"
"GH6","1","1","0","1","2","1","1","1","1","2","1","1","2","3","2","2","2","1","2","2","1","2","2","2","2","1","2","2","2","1","2","2","2","2","2","2","2","3","2","2","1","2","2","1","1","1"
"GH62","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
